flight_date,from,to,avg_weeks,target,std_weeks,is_holiday,day_of_year,distance_to_New Year's Day,"distance_to_Birthday of Martin Luther King, Jr.",distance_to_Washington's Birthday,distance_to_Memorial Day,distance_to_Juneteenth National Independence Day,distance_to_Independence Day,distance_to_Labor Day,distance_to_Columbus Day,distance_to_Veterans Day,distance_to_Thanksgiving Day,distance_to_Christmas Day,distance_to_next_holiday,distance_to_previous_holiday,path_distance,from_in_degree,from_out_degree,to_in_degree,to_out_degree,ATL,BOS,CLT,DEN,DFW,DTW,EWR,IAH,JFK,LAS,LAX,LGA,MCO,MIA,MSP,ORD,PHL,PHX,SEA,SFO
2011-09-12,LAX,ORD,12.8076923077,12.667557679000002,8.12905520104,False,255,111,128,159,-107,-85,-70,-8,29,60,74,104,26,5,2802.116007690481,11.511861025399389,11.51684866108158,11.39706514536843,11.387552460182754,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0
2012-03-04,ATL,DEN,10.5652173913,10.5612839988,7.590820335089999,False,64,-63,-46,-15,85,107,122,-182,-145,-114,-100,-70,82,12,1926.6178297784168,10.986705272120973,11.05876539475933,10.740916817018693,10.74298222432765,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-10,ORD,PHX,13.76,10.6498079399,9.9552331297,False,10,-9,8,39,139,161,176,-128,-91,-60,-46,-16,5,9,2313.425889333065,11.39706514536843,11.387552460182754,10.704543967457013,10.672302087292909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0
2012-06-15,EWR,MCO,12.875,10.515394758200001,9.66532349489,False,167,-166,-149,-118,-18,4,19,81,118,149,163,-173,4,15,1510.8818234426892,10.882423693567391,10.833789151901911,10.80192431511827,10.89196124165143,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-02-03,ATL,MSP,9.84210526316,10.91421574,7.81922955778,False,34,-33,-16,15,115,137,152,-152,-115,-84,-70,-40,12,13,1459.7181270186945,10.986705272120973,11.05876539475933,10.920556887948626,10.895829598376196,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-12-02,ORD,DTW,9.833333333330001,11.251559533399998,8.30485329403,False,336,30,47,78,178,-166,-151,-89,-52,-21,-7,23,23,4,376.3886323781449,11.39706514536843,11.387552460182754,10.653095528420538,10.634797460865515,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
2012-08-27,JFK,MIA,16.0689655172,10.2134717492,10.3472944514,False,240,127,144,175,-91,-69,-54,8,45,76,90,120,5,54,1757.1215161369055,11.641953222951795,11.432985714932439,10.749204535934668,10.64910414072656,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0
2012-04-16,PHL,DFW,6.15384615385,11.3643598845,4.18023432051,False,107,-106,-89,-58,42,64,79,141,178,-157,-143,-113,39,55,2092.876657597348,10.83509569046346,10.800228508121956,11.180310941123327,11.050228394602799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
2012-11-12,EWR,BOS,11.0,11.7405184659,8.71175853902,False,317,50,67,98,-168,-146,-131,-69,-32,-1,13,43,10,1,322.30617955799113,10.882423693567391,10.833789151901911,10.976367620132233,11.075587891139088,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-08,ATL,PHL,8.68421052632,11.552415873,6.70035348635,False,251,115,132,163,-103,-81,-66,-4,33,64,78,108,30,1,1071.592953109364,10.986705272120973,11.05876539475933,10.83509569046346,10.800228508121956,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-10-24,LAS,JFK,14.0357142857,11.4018690411,8.97107344358,False,298,69,86,117,-149,-127,-112,-50,-13,18,32,62,18,10,3609.2825234219513,10.802143255290838,10.858821650818184,11.641953222951795,11.432985714932439,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0
2012-04-16,ORD,EWR,8.13333333333,12.1135127862,6.289068369190001,False,107,-106,-89,-58,42,64,79,141,178,-157,-143,-113,39,55,1154.4536331215895,11.39706514536843,11.387552460182754,10.882423693567391,10.833789151901911,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0
2012-03-14,PHL,ATL,8.176470588239999,11.529438468299999,6.61660122455,False,74,-73,-56,-25,75,97,112,174,-155,-124,-110,-80,72,22,1071.592953109364,10.83509569046346,10.800228508121956,10.986705272120973,11.05876539475933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
2012-07-24,EWR,SFO,13.96,10.624941228099999,10.9219961545,False,206,161,178,-157,-57,-35,-20,42,79,110,124,154,39,20,4118.400577733478,10.882423693567391,10.833789151901911,11.293030075679182,11.305858815252616,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-11-19,SFO,ATL,9.52631578947,9.765837304789999,6.653056282250001,False,323,43,60,91,-175,-153,-138,-76,-39,-8,6,36,3,8,3434.7180355672917,11.293030075679182,11.305858815252616,10.986705272120973,11.05876539475933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2012-05-02,JFK,MCO,13.851851851900001,10.6374160288,9.247468276000001,False,123,-122,-105,-74,26,48,63,125,162,-173,-159,-129,23,71,1521.3886141530445,11.641953222951795,11.432985714932439,10.80192431511827,10.89196124165143,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0
2012-04-28,SEA,ORD,7.625,9.75589074385,4.9648766349199995,False,119,-118,-101,-70,30,52,67,129,166,-169,-155,-125,27,67,2761.7516243497034,10.911269061769707,10.824439597932692,11.39706514536843,11.387552460182754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0
2012-08-31,LAS,JFK,17.6216216216,11.1219308907,11.686533920499999,False,244,123,140,171,-95,-73,-58,4,41,72,86,116,1,58,3609.2825234219513,10.802143255290838,10.858821650818184,11.641953222951795,11.432985714932439,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0
2012-02-11,MIA,LGA,13.7894736842,10.267309839500001,13.2269881823,False,42,-41,-24,7,107,129,144,-160,-123,-92,-78,-48,4,21,1768.377326888082,10.749204535934668,10.64910414072656,11.405018795317423,11.411122537569854,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
2012-08-01,ORD,DTW,10.65,11.4018690411,9.83696037776,False,214,153,170,-165,-65,-43,-28,34,71,102,116,146,31,28,376.3886323781449,11.39706514536843,11.387552460182754,10.653095528420538,10.634797460865515,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
2012-10-13,LAX,JFK,17.0,12.7930154861,11.217333525799999,True,287,80,97,128,-138,-116,-101,-39,-2,29,43,73,29,36,3974.196710879194,11.511861025399389,11.51684866108158,11.641953222951795,11.432985714932439,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0
2012-08-02,SFO,ORD,16.0333333333,12.308598469200001,11.6218680122,False,215,152,169,-166,-66,-44,-29,33,70,101,115,145,30,29,2963.963188844591,11.293030075679182,11.305858815252616,11.39706514536843,11.387552460182754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1
2012-08-16,ORD,SFO,18.4848484848,12.343787735,13.4956502532,False,229,138,155,-180,-80,-58,-43,19,56,87,101,131,16,43,2963.963188844591,11.39706514536843,11.387552460182754,11.293030075679182,11.305858815252616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1
2012-03-21,BOS,ORD,7.8,11.9270078294,6.03797506265,False,81,-80,-63,-32,68,90,105,167,-162,-131,-117,-87,65,29,1391.0783252852343,10.976367620132233,11.075587891139088,11.39706514536843,11.387552460182754,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-09-04,DEN,SEA,13.0,10.992918377999999,9.33436847262,True,248,119,136,167,-99,-77,-62,0,37,68,82,112,34,62,1645.0658311574027,10.740916817018693,10.74298222432765,10.911269061769707,10.824439597932692,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012-07-12,BOS,EWR,12.090909090899999,11.593819658900001,9.2319790527,False,194,173,-176,-145,-45,-23,-8,54,91,122,136,166,51,8,322.30617955799113,10.976367620132233,11.075587891139088,10.882423693567391,10.833789151901911,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-07,PHL,BOS,5.545454545449999,7.7851310516600005,4.22761484442,False,7,-6,11,42,142,164,179,-125,-88,-57,-43,-13,8,6,450.14197587925264,10.83509569046346,10.800228508121956,10.976367620132233,11.075587891139088,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
2012-09-01,LAX,EWR,13.166666666700001,10.3269941571,9.95933761839,True,245,122,139,170,-96,-74,-59,3,40,71,85,115,0,59,3941.010291289658,11.511861025399389,11.51684866108158,10.882423693567391,10.833789151901911,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0
2011-12-12,ATL,ORD,10.6315789474,12.0621013169,9.91749591108,False,346,20,37,68,168,-176,-161,-99,-62,-31,-17,13,13,14,976.3278291656196,10.986705272120973,11.05876539475933,11.39706514536843,11.387552460182754,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-07-23,ORD,DEN,14.037037037000001,11.582618569600001,9.70519877132,False,205,162,179,-156,-56,-34,-19,43,80,111,125,155,40,19,1426.0220157520112,11.39706514536843,11.387552460182754,10.740916817018693,10.74298222432765,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
2012-03-06,DFW,ORD,6.92857142857,12.1690221146,5.014813221680001,False,66,-65,-48,-17,83,105,120,182,-147,-116,-102,-72,80,14,1290.645304960658,11.180310941123327,11.050228394602799,11.39706514536843,11.387552460182754,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-01-25,PHL,DFW,5.454545454550001,10.4270551669,4.15604707297,False,25,-24,-7,24,124,146,161,-143,-106,-75,-61,-31,21,4,2092.876657597348,10.83509569046346,10.800228508121956,11.180310941123327,11.050228394602799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
2012-07-24,MSP,DEN,11.086956521700001,10.9302242139,8.14590272624,False,206,161,178,-157,-57,-35,-20,42,79,110,124,154,39,20,1092.352466433747,10.920556887948626,10.895829598376196,10.740916817018693,10.74298222432765,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
2012-03-07,ATL,MCO,11.086956521700001,11.840990285999998,8.4526114495,False,67,-66,-49,-18,82,104,119,181,-148,-117,-103,-73,79,15,650.7363446314483,10.986705272120973,11.05876539475933,10.80192431511827,10.89196124165143,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-10-19,BOS,EWR,13.2608695652,11.206290909100002,10.7204875708,False,293,74,91,122,-144,-122,-107,-45,-8,23,37,67,23,5,322.30617955799113,10.976367620132233,11.075587891139088,10.882423693567391,10.833789151901911,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-30,ORD,MSP,8.63157894737,11.0385935365,6.4911095295,False,303,63,80,111,-155,-133,-118,-56,-19,12,26,56,12,16,536.9953198971817,11.39706514536843,11.387552460182754,10.920556887948626,10.895829598376196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
2011-12-25,EWR,LAX,12.8181818182,10.0074151716,8.671993035249999,True,359,7,24,55,155,177,-174,-112,-75,-44,-30,0,0,0,3941.010291289658,10.882423693567391,10.833789151901911,11.511861025399389,11.51684866108158,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-09-04,DEN,DFW,9.11111111111,11.529438468299999,6.08652212959,True,248,119,136,167,-99,-77,-62,0,37,68,82,112,34,62,1032.0980058772266,10.740916817018693,10.74298222432765,11.180310941123327,11.050228394602799,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-09,ORD,LAX,13.25,12.021111188699999,10.0141204654,False,69,-68,-51,-20,80,102,117,179,-150,-119,-105,-75,77,17,2802.116007690481,11.39706514536843,11.387552460182754,11.511861025399389,11.51684866108158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0
2011-10-02,CLT,LGA,11.409090909100001,10.7224785265,7.920191741960001,False,275,91,108,139,-127,-105,-90,-28,9,40,54,84,6,25,874.9278460998839,10.637333582755277,10.52887259422674,11.405018795317423,11.411122537569854,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-10-28,MCO,ATL,13.2592592593,11.0285397345,9.800284896139999,False,302,65,82,113,-153,-131,-116,-54,-17,14,28,58,14,14,650.7363446314483,10.80192431511827,10.89196124165143,10.986705272120973,11.05876539475933,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
2011-09-15,ORD,DTW,9.647058823530001,11.719757853499999,7.557621785910001,False,258,108,125,156,-110,-88,-73,-11,26,57,71,101,23,8,376.3886323781449,11.39706514536843,11.387552460182754,10.653095528420538,10.634797460865515,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
2012-07-19,ORD,DFW,11.1304347826,12.934297736,7.02789473084,False,201,166,-183,-152,-52,-30,-15,47,84,115,129,159,44,15,1290.645304960658,11.39706514536843,11.387552460182754,11.180310941123327,11.050228394602799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
2012-05-20,LAX,DEN,11.791666666700001,11.410102943,9.35753203559,False,141,-140,-123,-92,8,30,45,107,144,175,-177,-147,5,89,1385.1392038077984,11.511861025399389,11.51684866108158,10.740916817018693,10.74298222432765,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
2012-08-28,PHX,DEN,11.2631578947,10.8432124801,9.15206173046,False,241,126,143,174,-92,-70,-55,7,44,75,89,119,4,55,968.5377565127928,10.704543967457013,10.672302087292909,10.740916817018693,10.74298222432765,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
2012-05-17,CLT,ATL,9.95,11.1123175924,8.2556200953,False,138,-137,-120,-89,11,33,48,110,147,178,-174,-144,8,86,364.56708046971016,10.637333582755277,10.52887259422674,10.986705272120973,11.05876539475933,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-13,ORD,SEA,16.59375,11.355921065699999,10.956981498,False,226,141,158,-177,-77,-55,-40,22,59,90,104,134,19,40,2761.7516243497034,11.39706514536843,11.387552460182754,10.911269061769707,10.824439597932692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0
2012-10-25,DFW,PHL,11.5714285714,11.5751136269,9.13548810175,False,299,68,85,116,-150,-128,-113,-51,-14,17,31,61,17,11,2092.876657597348,11.180310941123327,11.050228394602799,10.83509569046346,10.800228508121956,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-02-12,MIA,ATL,14.75,10.370536424900001,10.779352691300002,False,43,-42,-25,6,106,128,143,-161,-124,-93,-79,-49,3,22,959.0645602676874,10.749204535934668,10.64910414072656,10.986705272120973,11.05876539475933,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
2011-10-11,ORD,EWR,11.2380952381,12.1331295415,8.51413390724,True,284,82,99,130,-136,-114,-99,-37,0,31,45,75,31,34,1154.4536331215895,11.39706514536843,11.387552460182754,10.882423693567391,10.833789151901911,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0
2012-05-16,JFK,LAX,16.9142857143,13.6953118783,11.7482700318,False,137,-136,-119,-88,12,34,49,111,148,179,-173,-143,9,85,3974.196710879194,11.641953222951795,11.432985714932439,11.511861025399389,11.51684866108158,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0
2012-03-19,LAS,ORD,12.625,11.1504769953,9.79268804417,False,79,-78,-61,-30,70,92,107,169,-160,-129,-115,-85,67,27,2431.692848117438,10.802143255290838,10.858821650818184,11.39706514536843,11.387552460182754,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
2012-07-16,MCO,PHL,13.5769230769,10.221258715700001,9.533826417230001,False,198,169,-180,-149,-49,-27,-12,50,87,118,132,162,47,12,1388.5554903516613,10.80192431511827,10.89196124165143,10.83509569046346,10.800228508121956,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0
2012-09-12,BOS,LGA,5.0,13.4048063486,4.15604707297,False,256,111,128,159,-107,-85,-70,-8,29,60,74,104,26,5,296.6920229885085,10.976367620132233,11.075587891139088,11.405018795317423,11.411122537569854,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-03-09,DFW,DEN,7.13333333333,11.2335837243,4.718756898450001,False,69,-68,-51,-20,80,102,117,179,-150,-119,-105,-75,77,17,1032.0980058772266,11.180310941123327,11.050228394602799,10.740916817018693,10.74298222432765,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-05,ATL,PHL,12.541666666700001,9.95437911171,10.2149896962,False,309,57,74,105,-161,-139,-124,-62,-25,6,20,50,6,22,1071.592953109364,10.986705272120973,11.05876539475933,10.83509569046346,10.800228508121956,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-01-20,DEN,DFW,10.15,11.4627550497,7.00582464435,True,20,-19,-2,29,129,151,166,-138,-101,-70,-56,-26,26,19,1032.0980058772266,10.740916817018693,10.74298222432765,11.180310941123327,11.050228394602799,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-26,ATL,LAX,13.153846153800002,11.3001178582,8.67037396053,False,299,67,84,115,-151,-129,-114,-52,-15,16,30,60,16,12,3125.776526360192,10.986705272120973,11.05876539475933,11.511861025399389,11.51684866108158,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-09-24,PHL,ORD,11.3636363636,10.447815779299999,7.8773058879299995,False,267,99,116,147,-119,-97,-82,-20,17,48,62,92,14,17,1088.3236698576663,10.83509569046346,10.800228508121956,11.39706514536843,11.387552460182754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0
2012-02-17,DEN,SFO,12.7727272727,10.9826146183,9.74890381228,True,48,-47,-30,1,101,123,138,-166,-129,-98,-84,-54,98,27,1552.7748305694504,10.740916817018693,10.74298222432765,11.293030075679182,11.305858815252616,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-11-30,DTW,ATL,9.105263157889999,10.7924233148,5.801290439219999,False,334,32,49,80,180,-164,-149,-87,-50,-19,-5,25,25,2,958.1975913594937,10.653095528420538,10.634797460865515,10.986705272120973,11.05876539475933,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-19,JFK,MIA,15.392857142899999,10.8376370626,11.467633310999998,False,353,13,30,61,161,-183,-168,-106,-69,-38,-24,6,6,21,1757.1215161369055,11.641953222951795,11.432985714932439,10.749204535934668,10.64910414072656,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0
2012-09-19,CLT,LGA,10.7368421053,11.9761698393,8.312254041560001,False,263,104,121,152,-114,-92,-77,-15,22,53,67,97,19,12,874.9278460998839,10.637333582755277,10.52887259422674,11.405018795317423,11.411122537569854,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-10-28,JFK,LAX,14.8387096774,13.224374901300001,10.099824335700001,False,301,65,82,113,-153,-131,-116,-54,-17,14,28,58,14,14,3974.196710879194,11.641953222951795,11.432985714932439,11.511861025399389,11.51684866108158,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0
2012-01-30,LGA,MIA,11.052631578900002,10.848771279300001,9.60598010622,False,30,-29,-12,19,119,141,156,-148,-111,-80,-66,-36,16,9,1768.377326888082,11.405018795317423,11.411122537569854,10.749204535934668,10.64910414072656,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0
2012-03-21,PHX,DEN,8.0,11.3131445172,5.65685424949,False,81,-80,-63,-32,68,90,105,167,-162,-131,-117,-87,65,29,968.5377565127928,10.704543967457013,10.672302087292909,10.740916817018693,10.74298222432765,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
2012-04-11,ATL,DTW,9.88888888889,10.6559731546,8.930377034980001,False,102,-101,-84,-53,47,69,84,146,-183,-152,-138,-108,44,50,958.1975913594937,10.986705272120973,11.05876539475933,10.653095528420538,10.634797460865515,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-24,LAS,LAX,16.6176470588,11.7473876294,11.703443435,False,176,-175,-158,-127,-27,-5,10,72,109,140,154,-182,10,5,379.9942734236418,10.802143255290838,10.858821650818184,11.511861025399389,11.51684866108158,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0
2012-09-01,LAS,DEN,11.2727272727,9.61076388381,7.74708435589,True,245,122,139,170,-96,-74,-59,3,40,71,85,115,0,59,1009.3646188609899,10.802143255290838,10.858821650818184,10.740916817018693,10.74298222432765,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
2011-09-11,DTW,ORD,10.3684210526,10.881780561500001,7.882544191060001,False,254,112,129,160,-106,-84,-69,-7,30,61,75,105,27,4,376.3886323781449,10.653095528420538,10.634797460865515,11.39706514536843,11.387552460182754,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-10-18,PHX,DEN,9.55,11.0684337852,6.00416522091,False,291,75,92,123,-143,-121,-106,-44,-7,24,38,68,24,4,968.5377565127928,10.704543967457013,10.672302087292909,10.740916817018693,10.74298222432765,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
2012-01-10,ATL,SFO,13.590909090899999,10.406060846699999,11.375240827999999,False,10,-9,8,39,139,161,176,-128,-91,-60,-46,-16,5,9,3434.7180355672917,10.986705272120973,11.05876539475933,11.293030075679182,11.305858815252616,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-03-05,ATL,ORD,10.5714285714,12.0475651891,8.62885524604,False,65,-64,-47,-16,84,106,121,-183,-146,-115,-101,-71,81,13,976.3278291656196,10.986705272120973,11.05876539475933,11.39706514536843,11.387552460182754,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-09-22,DFW,ORD,11.958333333299999,13.0211388981,7.8323696601199995,False,265,101,118,149,-117,-95,-80,-18,19,50,64,94,16,15,1290.645304960658,11.180310941123327,11.050228394602799,11.39706514536843,11.387552460182754,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-11-20,DFW,LGA,9.0,10.4130852458,6.2591110062199995,False,324,42,59,90,-176,-154,-139,-77,-40,-9,5,35,2,9,2231.359615489,11.180310941123327,11.050228394602799,11.405018795317423,11.411122537569854,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-12-15,PHX,ORD,13.32,10.6559731546,9.62514069161,False,349,17,34,65,165,-179,-164,-102,-65,-34,-20,10,10,17,2313.425889333065,10.704543967457013,10.672302087292909,11.39706514536843,11.387552460182754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0
2012-07-03,DFW,LAX,14.862068965499999,11.210867539,10.1655023695,False,185,182,-167,-136,-36,-14,1,63,100,131,145,175,1,14,1983.1744750180908,11.180310941123327,11.050228394602799,11.511861025399389,11.51684866108158,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
